Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
AACBR,
2025-07-15,
Full size,
US/Eastern,
,"{'1. open': '0.2660', '2. high': '0.2660', '3. low': '0.2660', '4. close': '0.2660', '5. volume': '353'}"
,"{'1. open': '0.2500', '2. high': '0.2500', '3. low': '0.2500', '4. close': '0.2500', '5. volume': '161'}"
,"{'1. open': '0.2500', '2. high': '0.2500', '3. low': '0.2500', '4. close': '0.2500', '5. volume': '162'}"
,"{'1. open': '0.2500', '2. high': '0.2500', '3. low': '0.2500', '4. close': '0.2500', '5. volume': '36'}"
,"{'1. open': '0.2500', '2. high': '0.2500', '3. low': '0.2500', '4. close': '0.2500', '5. volume': '97'}"
,"{'1. open': '0.2500', '2. high': '0.2500', '3. low': '0.2500', '4. close': '0.2500', '5. volume': '22'}"
,"{'1. open': '0.1608', '2. high': '0.2500', '3. low': '0.1608', '4. close': '0.2500', '5. volume': '10627'}"
,"{'1. open': '0.2200', '2. high': '0.2200', '3. low': '0.2200', '4. close': '0.2200', '5. volume': '28'}"
,"{'1. open': '0.2800', '2. high': '0.2800', '3. low': '0.2200', '4. close': '0.2200', '5. volume': '12042'}"
,"{'1. open': '0.2232', '2. high': '0.2232', '3. low': '0.2200', '4. close': '0.2201', '5. volume': '11793'}"
,"{'1. open': '0.2800', '2. high': '0.2800', '3. low': '0.2400', '4. close': '0.2400', '5. volume': '2354'}"
,"{'1. open': '0.2610', '2. high': '0.2610', '3. low': '0.2610', '4. close': '0.2610', '5. volume': '62'}"
,"{'1. open': '0.2610', '2. high': '0.2610', '3. low': '0.2610', '4. close': '0.2610', '5. volume': '48'}"
,"{'1. open': '0.2610', '2. high': '0.2610', '3. low': '0.2610', '4. close': '0.2610', '5. volume': '30'}"
,"{'1. open': '0.2610', '2. high': '0.2610', '3. low': '0.2610', '4. close': '0.2610', '5. volume': '45'}"
,"{'1. open': '0.2520', '2. high': '0.2610', '3. low': '0.2520', '4. close': '0.2610', '5. volume': '301'}"
,"{'1. open': '0.2520', '2. high': '0.2520', '3. low': '0.2520', '4. close': '0.2520', '5. volume': '75'}"
,"{'1. open': '0.2520', '2. high': '0.2520', '3. low': '0.2520', '4. close': '0.2520', '5. volume': '77'}"
,"{'1. open': '0.2520', '2. high': '0.2520', '3. low': '0.2520', '4. close': '0.2520', '5. volume': '248'}"
,"{'1. open': '0.2200', '2. high': '0.2200', '3. low': '0.2200', '4. close': '0.2200', '5. volume': '204'}"
,"{'1. open': '0.2200', '2. high': '0.2200', '3. low': '0.2200', '4. close': '0.2200', '5. volume': '22'}"
,"{'1. open': '0.2500', '2. high': '0.2700', '3. low': '0.2101', '4. close': '0.2200', '5. volume': '23074'}"
,"{'1. open': '0.2400', '2. high': '0.2460', '3. low': '0.2400', '4. close': '0.2459', '5. volume': '33267'}"
,"{'1. open': '0.2366', '2. high': '0.2400', '3. low': '0.2201', '4. close': '0.2346', '5. volume': '1465'}"
,"{'1. open': '0.2200', '2. high': '0.2200', '3. low': '0.2200', '4. close': '0.2200', '5. volume': '110'}"
,"{'1. open': '0.2499', '2. high': '0.2499', '3. low': '0.2400', '4. close': '0.2400', '5. volume': '16732'}"
,"{'1. open': '0.2342', '2. high': '0.2400', '3. low': '0.2100', '4. close': '0.2400', '5. volume': '4115'}"
,"{'1. open': '0.2340', '2. high': '0.2800', '3. low': '0.2340', '4. close': '0.2371', '5. volume': '181408'}"
,"{'1. open': '0.2159', '2. high': '0.2159', '3. low': '0.2159', '4. close': '0.2159', '5. volume': '5'}"
,"{'1. open': '0.2159', '2. high': '0.2159', '3. low': '0.2159', '4. close': '0.2159', '5. volume': '64'}"
,"{'1. open': '0.2100', '2. high': '0.2160', '3. low': '0.2100', '4. close': '0.2159', '5. volume': '628'}"
,"{'1. open': '0.2002', '2. high': '0.2400', '3. low': '0.2002', '4. close': '0.2400', '5. volume': '2300'}"
,"{'1. open': '0.2400', '2. high': '0.2400', '3. low': '0.2400', '4. close': '0.2400', '5. volume': '1'}"
,"{'1. open': '0.2400', '2. high': '0.2400', '3. low': '0.2400', '4. close': '0.2400', '5. volume': '106'}"
,"{'1. open': '0.2200', '2. high': '0.2400', '3. low': '0.2200', '4. close': '0.2400', '5. volume': '50800'}"
,"{'1. open': '0.2000', '2. high': '0.2400', '3. low': '0.2000', '4. close': '0.2400', '5. volume': '401966'}"
,"{'1. open': '0.2400', '2. high': '0.2400', '3. low': '0.2400', '4. close': '0.2400', '5. volume': '511'}"
,"{'1. open': '0.2399', '2. high': '0.2399', '3. low': '0.2399', '4. close': '0.2399', '5. volume': '0'}"
,"{'1. open': '0.2399', '2. high': '0.2399', '3. low': '0.2399', '4. close': '0.2399', '5. volume': '55'}"
,"{'1. open': '0.2399', '2. high': '0.2399', '3. low': '0.2399', '4. close': '0.2399', '5. volume': '346'}"
,"{'1. open': '0.2200', '2. high': '0.2400', '3. low': '0.2200', '4. close': '0.2350', '5. volume': '10299'}"
,"{'1. open': '0.2300', '2. high': '0.2300', '3. low': '0.2300', '4. close': '0.2300', '5. volume': '323'}"
,"{'1. open': '0.2300', '2. high': '0.2300', '3. low': '0.2300', '4. close': '0.2300', '5. volume': '418'}"
,"{'1. open': '0.2050', '2. high': '0.2050', '3. low': '0.2050', '4. close': '0.2050', '5. volume': '191'}"
,"{'1. open': '0.2050', '2. high': '0.2050', '3. low': '0.2050', '4. close': '0.2050', '5. volume': '105'}"
,"{'1. open': '0.2050', '2. high': '0.2050', '3. low': '0.2050', '4. close': '0.2050', '5. volume': '141'}"
,"{'1. open': '0.2050', '2. high': '0.2050', '3. low': '0.2050', '4. close': '0.2050', '5. volume': '100'}"
,"{'1. open': '0.2400', '2. high': '0.2400', '3. low': '0.2300', '4. close': '0.2301', '5. volume': '2900'}"
,"{'1. open': '0.2400', '2. high': '0.2400', '3. low': '0.2400', '4. close': '0.2400', '5. volume': '192'}"
,"{'1. open': '0.2120', '2. high': '0.2400', '3. low': '0.2120', '4. close': '0.2400', '5. volume': '10898'}"
,"{'1. open': '0.2200', '2. high': '0.2200', '3. low': '0.2200', '4. close': '0.2200', '5. volume': '296'}"
,"{'1. open': '0.2200', '2. high': '0.2200', '3. low': '0.2200', '4. close': '0.2200', '5. volume': '158'}"
,"{'1. open': '0.1966', '2. high': '0.1966', '3. low': '0.1966', '4. close': '0.1966', '5. volume': '154'}"
,"{'1. open': '0.2000', '2. high': '0.2000', '3. low': '0.2000', '4. close': '0.2000', '5. volume': '74'}"
,"{'1. open': '0.1866', '2. high': '0.2200', '3. low': '0.1800', '4. close': '0.2000', '5. volume': '278070'}"
,"{'1. open': '0.1928', '2. high': '0.2063', '3. low': '0.1928', '4. close': '0.2063', '5. volume': '205'}"
,"{'1. open': '0.1801', '2. high': '0.1801', '3. low': '0.1801', '4. close': '0.1801', '5. volume': '4'}"
,"{'1. open': '0.2000', '2. high': '0.2000', '3. low': '0.1790', '4. close': '0.1801', '5. volume': '75318'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '203'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '38'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '12'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '81'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '88'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '0'}"
,"{'1. open': '0.1800', '2. high': '0.5746', '3. low': '0.1700', '4. close': '0.1800', '5. volume': '795449'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '0'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '0'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '112'}"
